Road-Name,From ,To
CR 448,SR 19,CR 561
CR 448,CR 561,LAKE INDUSTRIAL BLVD
CR 448,LAKE INDUSTRIAL BLVD,ORANGE COUNTY LINE
CR 48,CR 33,HAYWOOD WORM FARM RD
CR 48,HAYWOOD WORM FARM RD,US 27
CR 48,US 27,LIME AVE
CR 48,LIME AVE,SR 19
CR 561,SR 19,CR 448
CR 561,CR 448,CR 48
CR 561,CR 48,SOUTH ASTATULA CITY LIMIT
CR 561,SOUTH ASTATULA CITY LIMIT,CR 455
SR 19,STEVENS AVE,GOLF LINKS AVE
SR 19,GOLF LINKS AVE,US 441
SR 19,CR 500A/ LAKE SHORE BLVD,CR 452 (MAIN ST)
SR 19,CR 452 (MAIN ST),CR 561
SR 19,CR 561,LANE PARK RD
SR 19,LANE PARK RD,CR 48
SR 19,CR 48,CENTRAL AVE
US 441/ SR 500,CR 44,RADIO RD
US 441/ SR 500,RADIO RD,CR 473
US 441/ SR 500,CR 473,OLD US 441/ CR 500A
US 441/ SR 500,OLD US 441/ CR 500A,SR 19 / DUNCAN DR
US 441/ SR 500,SR 19 / DUNCAN DR,CR 452 / ST CLAIR ABRAMS AVE
US 441/ SR 500,CR 452 / ST CLAIR ABRAMS AVE,CR 452 / LAKE EUSTIS DR
US 441/ SR 500,CR 452 / LAKE EUSTIS DR,DAVID WALKER DR
US 441/ SR 500,DAVID WALKER DR,SR 19/ BAY ST
US 441/ SR 500,SR 19/ BAY ST,OLD MT DORA RD
